USERID	NAME	SURNAME	GENDER	RACE	AGE	PROVINCE	CHANNEL2	RECORDDATE	EMAIL	RECORDTIME	DURATION2	SOCIAL_MEDIA_HANDLE
903994	Bernardo?	Hier	male	coloured	33	Western Cape	Trace TV	2016/01/04	Bernardo?323@mail.com	18:09:00.000	00:02:00.000	@Bernardo?32
802352	None	None	None	None	0	None	ICC Cricket World Cup 2011	2016/03/30	Shelley?34@abcmail.com	09:04:00.000	00:10:06.000	None
866125	Emerson?	Mccollum	male	indian_asian	30	Gauteng	ICC Cricket World Cup 2011	2016/03/30	Emerson?243@mail.com	17:01:00.000	00:00:42.000	@Emerson?24
2425604	Tiffani?	Pilot	female	white	51	Gauteng	ICC Cricket World Cup 2011	2016/03/25	Tiffani?433@mail.com	15:23:00.000	00:00:10.000	@Tiffani?43
793571	Shelley?	Reisinger	female	white	9	Eastern Cape	SawSee	2016/02/02	Shelley?234@abcmail.com	17:18:00.000	00:01:33.000	@Shelley?23
793571	Shelley?	Reisinger	female	white	9	Eastern Cape	Boomerang	2016/03/18	Shelley?234@abcmail.com	16:56:00.000	00:00:10.000	@Shelley?23
793571	Shelley?	Reisinger	female	white	9	Eastern Cape	Channel O	2016/03/20	Shelley?234@abcmail.com	04:25:00.000	00:17:15.000	@Shelley?23
793571	Shelley?	Reisinger	female	white	9	Eastern Cape	Boomerang	2016/02/03	Shelley?234@abcmail.com	06:43:00.000	00:01:13.000	@Shelley?23
819248	None	None	None	None	0	None	Channel O	2016/03/31	Bess?381@yahoo.com	10:01:00.000	00:04:45.000	None
820321	Haywood?	Singer	male	indian_asian	26	Kwazulu Natal	Cartoon Network	2016/01/09	Haywood?92@gmail.com	08:25:00.000	00:00:40.000	@Haywood?9
892453	Eli?	Caves	male	indian_asian	34	Gauteng	Supersport Live Events	2016/03/24	Eli?291@yahoo.com	09:09:00.000	00:00:06.000	@Eli?29
892453	Eli?	Caves	male	indian_asian	34	Gauteng	ICC Cricket World Cup 2011	2016/03/26	Eli?291@yahoo.com	15:33:00.000	05:01:12.000	@Eli?29
828799	Romeo?	Mastrangelo	male	None	38	Mpumalanga	Channel O	2016/02/28	Romeo?375@mailxyz.com	08:09:00.000	00:00:00.000	@Romeo?37
787656	Garry?	Sytsma	male	black	26	Gauteng	Channel O	2016/02/15	Garry?284@abcmail.com	08:40:00.000	00:11:15.000	@Garry?28
939566	Bret?	Holt	male	None	29	Mpumalanga	Supersport Live Events	2016/01/09	Bret?314@abcmail.com	15:40:00.000	00:22:02.000	@Bret?31
771778	Yong?	Paradis	male	black	21	Eastern Cape	Supersport Live Events	2016/02/05	Yong?484@abcmail.com	13:47:00.000	00:04:12.000	@Yong?48
808915	Cory?	Mcclaine	male	black	37	Kwazulu Natal	SuperSport Blitz	2016/02/20	Cory?105@mailxyz.com	05:34:00.000	00:01:14.000	@Cory?10
808915	Cory?	Mcclaine	male	black	37	Kwazulu Natal	Supersport Live Events	2016/02/21	Cory?105@mailxyz.com	13:45:00.000	00:00:50.000	@Cory?10
808916	Donald?	Zweifel	male	None	43	Western Cape	E! Entertainment	2016/02/19	Donald?224@abcmail.com	11:03:00.000	00:01:42.000	@Donald?22
808916	Donald?	Zweifel	male	None	43	Western Cape	Boomerang	2016/02/19	Donald?224@abcmail.com	20:15:00.000	00:00:00.000	@Donald?22
831679	Hugh	Luthy	male	coloured	27	Gauteng	Supersport Live Events	2016/03/01	Hugh13@mail.com	03:17:00.000	00:00:50.000	@Hugh1
808917	Carter?	Tatham	male	black	34	Gauteng	Break in transmission	2016/02/27	Carter?34@abcmail.com	18:13:00.000	00:00:26.000	@Carter?3
808917	Carter?	Tatham	male	black	34	Gauteng	Supersport Live Events	2016/02/28	Carter?34@abcmail.com	20:20:00.000	00:00:24.000	@Carter?3
939570	Emerson?	Marek	male	None	22	Gauteng	kykNET	2016/03/30	Emerson?244@abcmail.com	23:52:00.000	00:01:24.000	@Emerson?24
880213	Samuel?	Wigfall	male	indian_asian	33	Gauteng	Africa Magic	2016/03/30	Samuel?265@mailxyz.com	19:13:00.000	00:00:11.000	@Samuel?26
2255459	Michel?	Reisinger	male	black	22	Mpumalanga	SawSee	2016/03/09	Michel?201@yahoo.com	08:51:00.000	00:00:15.000	@Michel?20
2255459	Michel?	Reisinger	male	black	22	Mpumalanga	Channel O	2016/03/29	Michel?201@yahoo.com	02:23:00.000	00:07:54.000	@Michel?20
808921	Filiberto?	Pilot	male	black	24	Mpumalanga	Trace TV	2016/03/02	Filiberto?44@abcmail.com	06:01:00.000	00:18:27.000	@Filiberto?4
808921	Filiberto?	Pilot	male	black	24	Mpumalanga	Channel O	2016/03/06	Filiberto?44@abcmail.com	15:58:00.000	00:00:48.000	@Filiberto?4
831683	Len?	Paradis	male	indian_asian	36	Kwazulu Natal	CNN	2016/02/25	Len?443@mail.com	19:48:00.000	00:00:42.000	@Len?44
831683	Len?	Paradis	male	indian_asian	36	Kwazulu Natal	Africa Magic	2016/02/25	Len?443@mail.com	15:59:00.000	00:00:00.000	@Len?44
831683	Len?	Paradis	male	indian_asian	36	Kwazulu Natal	ICC Cricket World Cup 2011	2016/03/04	Len?443@mail.com	07:21:00.000	00:00:00.000	@Len?44
761775	Stacy?	Mcculloch	male	None	24	Gauteng	Cartoon Network	2016/02/04	Stacy?271@yahoo.com	14:12:00.000	00:02:15.000	@Stacy?27
761775	Stacy?	Mcculloch	male	None	24	Gauteng	SuperSport Blitz	2016/01/25	Stacy?271@yahoo.com	15:59:00.000	00:01:14.000	@Stacy?27
866131	Len?	Gettys	male	black	44	Western Cape	Boomerang	2016/03/07	Len?445@mailxyz.com	17:16:00.000	00:00:03.000	@Len?44
904019	Cordie?	Singer	female	black	25	Gauteng	Africa Magic	2016/03/29	Cordie?345@mailxyz.com	16:03:00.000	00:14:58.000	@Cordie?34
939575	Samuel?	Sieren	male	black	25	Gauteng	Africa Magic	2016/03/10	Samuel?261@yahoo.com	21:30:00.000	00:01:22.000	@Samuel?26
808923	Art?	Nicholls	male	other	23	Eastern Cape	SuperSport Blitz	2016/02/21	Art?405@mailxyz.com	18:03:00.000	00:01:12.000	@Art?40
